tau,DetA,AssA,HOTA
0.05,0.9587770743791154,0.774802938538367,0.8618951761276756
0.1,0.9586076940992145,0.7746246106517192,0.86171985691949
0.15,0.9584806588892888,0.7744892233353221,0.8615874541130999
0.2,0.9583112786093879,0.7743043298430298,0.8614084817115856
0.25,0.9581842433994622,0.7741689425266328,0.8612760779554042
0.3,0.9580995532595118,0.7740848568094016,0.8611912421141085
0.35,0.9580572081895365,0.7740353506335063,0.8611446725538897
0.4,0.9578878279096357,0.7738333358477449,0.8609561738202846
0.45,0.9576761025597594,0.7736205878487386,0.8607426731787904
0.5,0.9570832715801063,0.7731823908268326,0.8602324872618293
0.55,0.9549660180813448,0.7716145581653931,0.858408808263756
0.6,0.9524676589528064,0.7697097253508737,0.8562263837199565
0.65,0.9465816942262497,0.7653989330820095,0.8511830701063858
0.7,0.9341745887235079,0.7660633882096534,0.8459532792163466
0.75,0.9107577650272067,0.7468337201770162,0.8247330536818405
0.8,0.8446147657259003,0.7036743999154196,0.7709304692589829
0.85,0.6897164997565158,0.5751008167983698,0.6298067341409465
0.9,0.38775380576316404,0.33468515087731027,0.360243585626581
0.95,0.06864135842984481,0.05453551727098047,0.0611832655891655
